startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T07:16:51.734Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,100,1,100,1,2020-10-09T07:16:58.260Z,2020-10-09T07:16:58.262Z,2020-10-09T07:16:58.262Z,2020-10-09T07:16:58.263Z,2020-10-09T07:16:58.263Z,2020-10-09T07:16:58.263Z,2020-10-09T07:16:58.264Z,2020-10-09T07:16:58.265Z,2020-10-09T07:16:58.265Z,2020-10-09T07:16:58.266Z,2020-10-09T07:16:58.267Z,2020-10-09T07:16:58.169Z,2020-10-09T07:16:58.170Z,2020-10-09T07:16:58.258Z,2020-10-09T07:16:58.268Z,,,2020-10-09T07:16:59.304Z,0.09290993213653564
2020-10-09T07:16:59.461Z,"iPhone12,3",14.0.0,psi,receiver,10489138.0,100,10,100,10,2020-10-09T07:17:05.207Z,2020-10-09T07:17:05.225Z,2020-10-09T07:17:05.225Z,2020-10-09T07:17:05.232Z,2020-10-09T07:17:05.232Z,2020-10-09T07:17:05.232Z,2020-10-09T07:17:05.232Z,2020-10-09T07:17:05.240Z,2020-10-09T07:17:05.240Z,2020-10-09T07:17:05.246Z,2020-10-09T07:17:05.246Z,2020-10-09T07:17:05.088Z,2020-10-09T07:17:05.089Z,2020-10-09T07:17:05.200Z,2020-10-09T07:17:05.247Z,,,2020-10-09T07:17:06.169Z,0.08757901191711426
2020-10-09T07:17:06.329Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,100,20,100,20,2020-10-09T07:17:11.783Z,2020-10-09T07:17:11.812Z,2020-10-09T07:17:11.812Z,2020-10-09T07:17:11.821Z,2020-10-09T07:17:11.821Z,2020-10-09T07:17:11.821Z,2020-10-09T07:17:11.822Z,2020-10-09T07:17:11.833Z,2020-10-09T07:17:11.833Z,2020-10-09T07:17:11.842Z,2020-10-09T07:17:11.842Z,2020-10-09T07:17:11.640Z,2020-10-09T07:17:11.641Z,2020-10-09T07:17:11.770Z,2020-10-09T07:17:11.843Z,,,2020-10-09T07:17:12.818Z,0.08791100978851318
2020-10-09T07:17:13.724Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,1000,1,1000,1,2020-10-09T07:17:19.980Z,2020-10-09T07:17:19.982Z,2020-10-09T07:17:19.982Z,2020-10-09T07:17:19.983Z,2020-10-09T07:17:19.983Z,2020-10-09T07:17:19.984Z,2020-10-09T07:17:19.984Z,2020-10-09T07:17:19.985Z,2020-10-09T07:17:19.985Z,2020-10-09T07:17:19.987Z,2020-10-09T07:17:19.987Z,2020-10-09T07:17:19.871Z,2020-10-09T07:17:19.872Z,2020-10-09T07:17:19.976Z,2020-10-09T07:17:19.990Z,,,2020-10-09T07:17:21.040Z,0.8669589757919312
2020-10-09T07:17:22.062Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,1000,10,1000,10,2020-10-09T07:17:28.213Z,2020-10-09T07:17:28.228Z,2020-10-09T07:17:28.228Z,2020-10-09T07:17:28.235Z,2020-10-09T07:17:28.235Z,2020-10-09T07:17:28.235Z,2020-10-09T07:17:28.235Z,2020-10-09T07:17:28.241Z,2020-10-09T07:17:28.241Z,2020-10-09T07:17:28.247Z,2020-10-09T07:17:28.247Z,2020-10-09T07:17:28.084Z,2020-10-09T07:17:28.085Z,2020-10-09T07:17:28.203Z,2020-10-09T07:17:28.249Z,,,2020-10-09T07:17:29.211Z,0.8748010396957397
2020-10-09T07:17:30.175Z,"iPhone12,3",14.0.0,psi,receiver,10489144.0,1000,20,1000,20,2020-10-09T07:17:36.423Z,2020-10-09T07:17:36.448Z,2020-10-09T07:17:36.448Z,2020-10-09T07:17:36.458Z,2020-10-09T07:17:36.458Z,2020-10-09T07:17:36.458Z,2020-10-09T07:17:36.458Z,2020-10-09T07:17:36.468Z,2020-10-09T07:17:36.468Z,2020-10-09T07:17:36.477Z,2020-10-09T07:17:36.477Z,2020-10-09T07:17:36.272Z,2020-10-09T07:17:36.274Z,2020-10-09T07:17:36.409Z,2020-10-09T07:17:36.479Z,,,2020-10-09T07:17:37.453Z,0.8710640668869019
2020-10-09T07:17:41.894Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,5000,1,5000,1,2020-10-09T07:17:50.254Z,2020-10-09T07:17:50.255Z,2020-10-09T07:17:50.255Z,2020-10-09T07:17:50.256Z,2020-10-09T07:17:50.256Z,2020-10-09T07:17:50.258Z,2020-10-09T07:17:50.259Z,2020-10-09T07:17:50.260Z,2020-10-09T07:17:50.260Z,2020-10-09T07:17:50.261Z,2020-10-09T07:17:50.262Z,2020-10-09T07:17:50.105Z,2020-10-09T07:17:50.106Z,2020-10-09T07:17:50.244Z,2020-10-09T07:17:50.268Z,,,2020-10-09T07:17:51.203Z,4.34693706035614
2020-10-09T07:17:55.703Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,5000,10,5000,10,2020-10-09T07:18:03.464Z,2020-10-09T07:18:03.475Z,2020-10-09T07:18:03.475Z,2020-10-09T07:18:03.479Z,2020-10-09T07:18:03.479Z,2020-10-09T07:18:03.481Z,2020-10-09T07:18:03.482Z,2020-10-09T07:18:03.487Z,2020-10-09T07:18:03.487Z,2020-10-09T07:18:03.492Z,2020-10-09T07:18:03.493Z,2020-10-09T07:18:03.307Z,2020-10-09T07:18:03.309Z,2020-10-09T07:18:03.451Z,2020-10-09T07:18:03.498Z,,,2020-10-09T07:18:04.472Z,4.39490008354187
2020-10-09T07:18:08.985Z,"iPhone12,3",14.0.0,psi,receiver,10489138.0,5000,20,5000,20,2020-10-09T07:18:17.330Z,2020-10-09T07:18:17.350Z,2020-10-09T07:18:17.350Z,2020-10-09T07:18:17.357Z,2020-10-09T07:18:17.358Z,2020-10-09T07:18:17.359Z,2020-10-09T07:18:17.359Z,2020-10-09T07:18:17.368Z,2020-10-09T07:18:17.368Z,2020-10-09T07:18:17.376Z,2020-10-09T07:18:17.376Z,2020-10-09T07:18:17.148Z,2020-10-09T07:18:17.149Z,2020-10-09T07:18:17.313Z,2020-10-09T07:18:17.381Z,,,2020-10-09T07:18:18.485Z,4.380246043205261
2020-10-09T07:18:27.433Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,10000,1,10000,1,2020-10-09T07:18:38.457Z,2020-10-09T07:18:38.458Z,2020-10-09T07:18:38.458Z,2020-10-09T07:18:38.459Z,2020-10-09T07:18:38.459Z,2020-10-09T07:18:38.462Z,2020-10-09T07:18:38.462Z,2020-10-09T07:18:38.463Z,2020-10-09T07:18:38.463Z,2020-10-09T07:18:38.463Z,2020-10-09T07:18:38.465Z,2020-10-09T07:18:38.286Z,2020-10-09T07:18:38.287Z,2020-10-09T07:18:38.444Z,2020-10-09T07:18:38.475Z,,,2020-10-09T07:18:39.452Z,8.72287392616272
