startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-09T07:16:52.554Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,100,1,100,1,2020-10-09T07:16:58.270Z,2020-10-09T07:16:58.271Z,2020-10-09T07:16:58.271Z,2020-10-09T07:16:58.272Z,2020-10-09T07:16:58.272Z,2020-10-09T07:16:58.273Z,2020-10-09T07:16:58.171Z,2020-10-09T07:16:58.172Z,2020-10-09T07:16:58.172Z,2020-10-09T07:16:58.174Z,2020-10-09T07:16:58.273Z,2020-10-09T07:16:58.020Z,2020-10-09T07:16:58.031Z,2020-10-09T07:16:58.031Z,2020-10-09T07:16:58.171Z,2020-10-09T07:16:58.174Z,2020-10-09T07:16:58.269Z,,,2020-10-09T07:16:58.360Z,2020-10-09T07:16:59.305Z,0.3767460584640503,2020-10-09T07:16:58.307Z
2020-10-09T07:16:59.484Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489138.0,100,10,100,10,2020-10-09T07:17:05.253Z,2020-10-09T07:17:05.267Z,2020-10-09T07:17:05.267Z,2020-10-09T07:17:05.277Z,2020-10-09T07:17:05.277Z,2020-10-09T07:17:05.277Z,2020-10-09T07:17:05.091Z,2020-10-09T07:17:05.101Z,2020-10-09T07:17:05.101Z,2020-10-09T07:17:05.108Z,2020-10-09T07:17:05.277Z,2020-10-09T07:17:04.976Z,2020-10-09T07:17:04.986Z,2020-10-09T07:17:04.986Z,2020-10-09T07:17:05.090Z,2020-10-09T07:17:05.108Z,2020-10-09T07:17:05.248Z,,,2020-10-09T07:17:05.354Z,2020-10-09T07:17:06.171Z,0.1430150270462036,2020-10-09T07:17:05.309Z
2020-10-09T07:17:06.356Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,100,20,100,20,2020-10-09T07:17:11.853Z,2020-10-09T07:17:11.878Z,2020-10-09T07:17:11.878Z,2020-10-09T07:17:11.898Z,2020-10-09T07:17:11.898Z,2020-10-09T07:17:11.898Z,2020-10-09T07:17:11.643Z,2020-10-09T07:17:11.659Z,2020-10-09T07:17:11.659Z,2020-10-09T07:17:11.673Z,2020-10-09T07:17:11.898Z,2020-10-09T07:17:11.356Z,2020-10-09T07:17:11.532Z,2020-10-09T07:17:11.532Z,2020-10-09T07:17:11.642Z,2020-10-09T07:17:11.673Z,2020-10-09T07:17:11.844Z,,,2020-10-09T07:17:11.975Z,2020-10-09T07:17:12.819Z,0.1353600025177002,2020-10-09T07:17:11.930Z
2020-10-09T07:17:14.266Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489137.0,1000,1,1000,1,2020-10-09T07:17:19.996Z,2020-10-09T07:17:19.998Z,2020-10-09T07:17:19.998Z,2020-10-09T07:17:19.999Z,2020-10-09T07:17:19.999Z,2020-10-09T07:17:20.000Z,2020-10-09T07:17:19.872Z,2020-10-09T07:17:19.873Z,2020-10-09T07:17:19.873Z,2020-10-09T07:17:19.874Z,2020-10-09T07:17:20.000Z,2020-10-09T07:17:19.764Z,2020-10-09T07:17:19.772Z,2020-10-09T07:17:19.772Z,2020-10-09T07:17:19.872Z,2020-10-09T07:17:19.876Z,2020-10-09T07:17:19.992Z,,,2020-10-09T07:17:20.089Z,2020-10-09T07:17:21.042Z,1.4074339866638184,2020-10-09T07:17:20.032Z
2020-10-09T07:17:22.473Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,1000,10,1000,10,2020-10-09T07:17:28.259Z,2020-10-09T07:17:28.274Z,2020-10-09T07:17:28.274Z,2020-10-09T07:17:28.284Z,2020-10-09T07:17:28.284Z,2020-10-09T07:17:28.285Z,2020-10-09T07:17:28.086Z,2020-10-09T07:17:28.095Z,2020-10-09T07:17:28.095Z,2020-10-09T07:17:28.102Z,2020-10-09T07:17:28.285Z,2020-10-09T07:17:27.971Z,2020-10-09T07:17:27.980Z,2020-10-09T07:17:27.980Z,2020-10-09T07:17:28.085Z,2020-10-09T07:17:28.103Z,2020-10-09T07:17:28.253Z,,,2020-10-09T07:17:28.372Z,2020-10-09T07:17:29.212Z,1.3788609504699707,2020-10-09T07:17:28.318Z
2020-10-09T07:17:30.669Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489144.0,1000,20,1000,20,2020-10-09T07:17:36.493Z,2020-10-09T07:17:36.518Z,2020-10-09T07:17:36.518Z,2020-10-09T07:17:36.538Z,2020-10-09T07:17:36.538Z,2020-10-09T07:17:36.538Z,2020-10-09T07:17:36.275Z,2020-10-09T07:17:36.291Z,2020-10-09T07:17:36.291Z,2020-10-09T07:17:36.305Z,2020-10-09T07:17:36.538Z,2020-10-09T07:17:36.159Z,2020-10-09T07:17:36.169Z,2020-10-09T07:17:36.169Z,2020-10-09T07:17:36.274Z,2020-10-09T07:17:36.307Z,2020-10-09T07:17:36.483Z,,,2020-10-09T07:17:36.616Z,2020-10-09T07:17:37.454Z,1.3870700597763062,2020-10-09T07:17:36.570Z
2020-10-09T07:17:44.502Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,5000,1,5000,1,2020-10-09T07:17:50.286Z,2020-10-09T07:17:50.288Z,2020-10-09T07:17:50.288Z,2020-10-09T07:17:50.289Z,2020-10-09T07:17:50.289Z,2020-10-09T07:17:50.290Z,2020-10-09T07:17:50.107Z,2020-10-09T07:17:50.108Z,2020-10-09T07:17:50.109Z,2020-10-09T07:17:50.112Z,2020-10-09T07:17:50.290Z,2020-10-09T07:17:49.994Z,2020-10-09T07:17:50.003Z,2020-10-09T07:17:50.003Z,2020-10-09T07:17:50.106Z,2020-10-09T07:17:50.119Z,2020-10-09T07:17:50.276Z,,,2020-10-09T07:17:50.386Z,2020-10-09T07:17:51.204Z,6.937327027320862,2020-10-09T07:17:50.327Z
2020-10-09T07:17:58.192Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489137.0,5000,10,5000,10,2020-10-09T07:18:03.522Z,2020-10-09T07:18:03.534Z,2020-10-09T07:18:03.534Z,2020-10-09T07:18:03.544Z,2020-10-09T07:18:03.544Z,2020-10-09T07:18:03.545Z,2020-10-09T07:18:03.310Z,2020-10-09T07:18:03.320Z,2020-10-09T07:18:03.320Z,2020-10-09T07:18:03.330Z,2020-10-09T07:18:03.545Z,2020-10-09T07:18:03.192Z,2020-10-09T07:18:03.201Z,2020-10-09T07:18:03.201Z,2020-10-09T07:18:03.309Z,2020-10-09T07:18:03.335Z,2020-10-09T07:18:03.509Z,,,2020-10-09T07:18:03.627Z,2020-10-09T07:18:04.473Z,6.860772967338562,2020-10-09T07:18:03.580Z
2020-10-09T07:18:11.558Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489138.0,5000,20,5000,20,2020-10-09T07:18:17.409Z,2020-10-09T07:18:17.431Z,2020-10-09T07:18:17.431Z,2020-10-09T07:18:17.450Z,2020-10-09T07:18:17.450Z,2020-10-09T07:18:17.451Z,2020-10-09T07:18:17.150Z,2020-10-09T07:18:17.167Z,2020-10-09T07:18:17.167Z,2020-10-09T07:18:17.183Z,2020-10-09T07:18:17.451Z,2020-10-09T07:18:17.034Z,2020-10-09T07:18:17.043Z,2020-10-09T07:18:17.043Z,2020-10-09T07:18:17.149Z,2020-10-09T07:18:17.189Z,2020-10-09T07:18:17.390Z,,,2020-10-09T07:18:17.533Z,2020-10-09T07:18:18.487Z,6.9470109939575195,2020-10-09T07:18:17.482Z
2020-10-09T07:18:32.721Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,10000,1,10000,1,2020-10-09T07:18:38.509Z,2020-10-09T07:18:38.510Z,2020-10-09T07:18:38.510Z,2020-10-09T07:18:38.511Z,2020-10-09T07:18:38.511Z,2020-10-09T07:18:38.515Z,2020-10-09T07:18:38.288Z,2020-10-09T07:18:38.289Z,2020-10-09T07:18:38.289Z,2020-10-09T07:18:38.295Z,2020-10-09T07:18:38.515Z,2020-10-09T07:18:38.162Z,2020-10-09T07:18:38.175Z,2020-10-09T07:18:38.175Z,2020-10-09T07:18:38.287Z,2020-10-09T07:18:38.307Z,2020-10-09T07:18:38.490Z,,,2020-10-09T07:18:38.598Z,2020-10-09T07:18:39.453Z,14.03603196144104,2020-10-09T07:18:38.547Z
