startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-11T20:40:13.495Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,100,1,,,,,,,,,,,,,,,,,,2020-10-11T20:40:22.040Z,2020-10-11T20:40:22.047Z,2020-10-11T20:40:23.104Z,0.09307801723480225
2020-10-11T20:40:23.261Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,10,,,,,,,,,,,,,,,,,,2020-10-11T20:40:28.863Z,2020-10-11T20:40:28.867Z,2020-10-11T20:40:29.810Z,0.08728194236755371
2020-10-11T20:40:29.956Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,100,20,,,,,,,,,,,,,,,,,,2020-10-11T20:40:35.445Z,2020-10-11T20:40:35.452Z,2020-10-11T20:40:36.434Z,0.08748006820678711
2020-10-11T20:40:37.357Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:40:43.459Z,2020-10-11T20:40:43.462Z,2020-10-11T20:40:44.423Z,0.8701180219650269
2020-10-11T20:40:45.360Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:40:51.360Z,2020-10-11T20:40:51.365Z,2020-10-11T20:40:52.274Z,0.8763430118560791
2020-10-11T20:40:53.238Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:40:59.203Z,2020-10-11T20:40:59.207Z,2020-10-11T20:41:00.106Z,0.873350977897644
2020-10-11T20:41:04.566Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:41:12.483Z,2020-10-11T20:41:12.486Z,2020-10-11T20:41:13.429Z,4.357224941253662
2020-10-11T20:41:17.952Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:41:25.816Z,2020-10-11T20:41:25.819Z,2020-10-11T20:41:26.727Z,4.3742170333862305
2020-10-11T20:41:31.197Z,"iPhone12,3",14.0.0,original,receiver,10489145.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:41:39.142Z,2020-10-11T20:41:39.149Z,2020-10-11T20:41:40.055Z,4.344637989997864
2020-10-11T20:41:48.966Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:41:59.470Z,2020-10-11T20:41:59.478Z,2020-10-11T20:42:00.417Z,8.703683972358704
2020-10-11T20:42:09.366Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:42:19.459Z,2020-10-11T20:42:19.463Z,2020-10-11T20:42:20.383Z,8.743674039840698
2020-10-11T20:42:29.354Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:42:39.714Z,2020-10-11T20:42:39.719Z,2020-10-11T20:42:40.636Z,8.746480941772461
2020-10-11T20:42:54.015Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:43:06.827Z,2020-10-11T20:43:06.836Z,2020-10-11T20:43:07.765Z,13.098798990249634
2020-10-11T20:43:21.254Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:43:33.483Z,2020-10-11T20:43:33.488Z,2020-10-11T20:43:34.452Z,13.219835042953491
2020-10-11T20:43:48.866Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:44:00.472Z,2020-10-11T20:44:00.476Z,2020-10-11T20:44:01.496Z,14.105260014533997
2020-10-11T20:44:01.738Z,"iPhone12,3",14.0.0,original,receiver,10489148.0,100,1,,,,,,,,,,,,,,,,,,2020-10-11T20:44:07.222Z,2020-10-11T20:44:07.226Z,2020-10-11T20:44:08.199Z,0.08713304996490479
2020-10-11T20:44:08.342Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,10,,,,,,,,,,,,,,,,,,2020-10-11T20:44:13.978Z,2020-10-11T20:44:13.981Z,2020-10-11T20:44:14.964Z,0.08800995349884033
2020-10-11T20:44:15.099Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,20,,,,,,,,,,,,,,,,,,2020-10-11T20:44:20.757Z,2020-10-11T20:44:20.761Z,2020-10-11T20:44:21.859Z,0.08815991878509521
2020-10-11T20:44:22.772Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:44:28.770Z,2020-10-11T20:44:28.774Z,2020-10-11T20:44:29.666Z,0.8722759485244751
2020-10-11T20:44:30.592Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:44:36.603Z,2020-10-11T20:44:36.607Z,2020-10-11T20:44:37.510Z,0.8726049661636353
2020-10-11T20:44:38.444Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:44:44.466Z,2020-10-11T20:44:44.470Z,2020-10-11T20:44:45.479Z,0.8811649084091187
2020-10-11T20:44:49.977Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:44:57.771Z,2020-10-11T20:44:57.775Z,2020-10-11T20:44:58.763Z,4.365790963172913
2020-10-11T20:45:03.211Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:45:11.215Z,2020-10-11T20:45:11.219Z,2020-10-11T20:45:12.120Z,4.344072937965393
2020-10-11T20:45:16.603Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:45:24.467Z,2020-10-11T20:45:24.471Z,2020-10-11T20:45:25.406Z,4.3652719259262085
2020-10-11T20:45:34.358Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:45:44.793Z,2020-10-11T20:45:44.797Z,2020-10-11T20:45:45.739Z,8.760841965675354
2020-10-11T20:45:54.582Z,"iPhone12,3",14.0.0,original,receiver,10489136.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:46:05.010Z,2020-10-11T20:46:05.015Z,2020-10-11T20:46:05.947Z,8.660148978233337
2020-10-11T20:46:14.922Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:46:25.218Z,2020-10-11T20:46:25.223Z,2020-10-11T20:46:26.246Z,8.729905009269714
2020-10-11T20:46:39.572Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:46:52.455Z,2020-10-11T20:46:52.458Z,2020-10-11T20:46:53.359Z,13.048306107521057
2020-10-11T20:47:06.760Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:47:19.012Z,2020-10-11T20:47:19.017Z,2020-10-11T20:47:19.950Z,13.11213207244873
2020-10-11T20:47:33.405Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:47:46.207Z,2020-10-11T20:47:46.213Z,2020-10-11T20:47:47.240Z,13.135754942893982
2020-10-11T20:47:47.394Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,1,,,,,,,,,,,,,,,,,,2020-10-11T20:47:53.000Z,2020-10-11T20:47:53.004Z,2020-10-11T20:47:54.005Z,0.08734595775604248
2020-10-11T20:47:54.178Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,10,,,,,,,,,,,,,,,,,,2020-10-11T20:47:59.758Z,2020-10-11T20:47:59.762Z,2020-10-11T20:48:00.744Z,0.08783590793609619
2020-10-11T20:48:00.925Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,100,20,,,,,,,,,,,,,,,,,,2020-10-11T20:48:06.518Z,2020-10-11T20:48:06.522Z,2020-10-11T20:48:07.506Z,0.08768701553344727
2020-10-11T20:48:08.490Z,"iPhone12,3",14.0.0,original,receiver,10489146.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:48:14.461Z,2020-10-11T20:48:14.464Z,2020-10-11T20:48:15.454Z,0.8698780536651611
2020-10-11T20:48:16.443Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:48:22.239Z,2020-10-11T20:48:22.244Z,2020-10-11T20:48:23.309Z,0.8689860105514526
2020-10-11T20:48:24.259Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:48:29.818Z,2020-10-11T20:48:29.822Z,2020-10-11T20:48:30.734Z,0.8696739673614502
2020-10-11T20:48:35.338Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:48:43.008Z,2020-10-11T20:48:43.012Z,2020-10-11T20:48:44.016Z,4.451641917228699
2020-10-11T20:48:48.538Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:48:56.321Z,2020-10-11T20:48:56.326Z,2020-10-11T20:48:57.258Z,4.356891989707947
2020-10-11T20:49:01.806Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:49:09.793Z,2020-10-11T20:49:09.796Z,2020-10-11T20:49:10.808Z,4.373538017272949
2020-10-11T20:49:19.786Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-11T20:49:29.696Z,2020-10-11T20:49:29.700Z,2020-10-11T20:49:30.665Z,8.738301038742065
2020-10-11T20:49:39.682Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-11T20:49:49.537Z,2020-10-11T20:49:49.542Z,2020-10-11T20:49:50.609Z,8.790960907936096
2020-10-11T20:49:59.652Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-11T20:50:09.746Z,2020-10-11T20:50:09.749Z,2020-10-11T20:50:10.642Z,8.809144020080566
