startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-11T20:40:16.461Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,100,1,,,,,,,,,,,,,,2020-10-11T20:40:21.910Z,2020-10-11T20:40:21.915Z,,,,,2020-10-11T20:40:21.915Z,2020-10-11T20:40:22.050Z,2020-10-11T20:40:22.133Z,2020-10-11T20:40:23.108Z,0.3962290287017822,2020-10-11T20:40:22.087Z
2020-10-11T20:40:23.285Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,100,10,,,,,,,,,,,,,,2020-10-11T20:40:28.781Z,2020-10-11T20:40:28.785Z,,,,,2020-10-11T20:40:28.785Z,2020-10-11T20:40:28.870Z,2020-10-11T20:40:28.950Z,2020-10-11T20:40:29.814Z,0.14115500450134277,2020-10-11T20:40:28.902Z
2020-10-11T20:40:30.000Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,100,20,,,,,,,,,,,,,,2020-10-11T20:40:35.362Z,2020-10-11T20:40:35.367Z,,,,,2020-10-11T20:40:35.367Z,2020-10-11T20:40:35.455Z,2020-10-11T20:40:35.535Z,2020-10-11T20:40:36.437Z,0.14097797870635986,2020-10-11T20:40:35.490Z
2020-10-11T20:40:37.888Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,1000,1,,,,,,,,,,,,,,2020-10-11T20:40:43.371Z,2020-10-11T20:40:43.376Z,,,,,2020-10-11T20:40:43.376Z,2020-10-11T20:40:43.465Z,2020-10-11T20:40:43.543Z,2020-10-11T20:40:44.427Z,1.4104419946670532,2020-10-11T20:40:43.503Z
2020-10-11T20:40:45.822Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489139.0,1000,10,,,,,,,,,,,,,,2020-10-11T20:40:51.263Z,2020-10-11T20:40:51.268Z,,,,,2020-10-11T20:40:51.268Z,2020-10-11T20:40:51.368Z,2020-10-11T20:40:51.455Z,2020-10-11T20:40:52.277Z,1.3418370485305786,2020-10-11T20:40:51.408Z
2020-10-11T20:40:53.692Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,1000,20,,,,,,,,,,,,,,2020-10-11T20:40:59.111Z,2020-10-11T20:40:59.116Z,,,,,2020-10-11T20:40:59.116Z,2020-10-11T20:40:59.209Z,2020-10-11T20:40:59.297Z,2020-10-11T20:41:00.110Z,1.3481520414352417,2020-10-11T20:40:59.248Z
2020-10-11T20:41:06.983Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,5000,1,,,,,,,,,,,,,,2020-10-11T20:41:12.392Z,2020-10-11T20:41:12.398Z,,,,,2020-10-11T20:41:12.398Z,2020-10-11T20:41:12.489Z,2020-10-11T20:41:12.569Z,2020-10-11T20:41:13.433Z,6.759657979011536,2020-10-11T20:41:12.527Z
2020-10-11T20:41:20.322Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,5000,10,,,,,,,,,,,,,,2020-10-11T20:41:25.727Z,2020-10-11T20:41:25.732Z,,,,,2020-10-11T20:41:25.732Z,2020-10-11T20:41:25.822Z,2020-10-11T20:41:25.910Z,2020-10-11T20:41:26.731Z,6.768498063087463,2020-10-11T20:41:25.862Z
2020-10-11T20:41:33.564Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489145.0,5000,20,,,,,,,,,,,,,,2020-10-11T20:41:39.057Z,2020-10-11T20:41:39.062Z,,,,,2020-10-11T20:41:39.062Z,2020-10-11T20:41:39.152Z,2020-10-11T20:41:39.239Z,2020-10-11T20:41:40.058Z,6.698970079421997,2020-10-11T20:41:39.193Z
2020-10-11T20:41:53.886Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,10000,1,,,,,,,,,,,,,,2020-10-11T20:41:59.373Z,2020-10-11T20:41:59.378Z,,,,,2020-10-11T20:41:59.378Z,2020-10-11T20:41:59.480Z,2020-10-11T20:41:59.565Z,2020-10-11T20:42:00.420Z,13.630467057228088,2020-10-11T20:41:59.518Z
