startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T23:31:58.523Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:32:05.702Z,2020-10-09T23:32:05.716Z,2020-10-09T23:32:06.907Z,0.09240603446960449
2020-10-09T23:32:07.073Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:32:12.671Z,2020-10-09T23:32:12.675Z,2020-10-09T23:32:13.654Z,0.08751094341278076
2020-10-09T23:32:13.835Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:32:19.383Z,2020-10-09T23:32:19.387Z,2020-10-09T23:32:20.481Z,0.08751809597015381
2020-10-09T23:32:21.437Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:32:27.757Z,2020-10-09T23:32:27.760Z,2020-10-09T23:32:28.793Z,0.8681119680404663
2020-10-09T23:32:29.748Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:32:36.155Z,2020-10-09T23:32:36.160Z,2020-10-09T23:32:37.260Z,0.8744170665740967
2020-10-09T23:32:38.255Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:32:44.555Z,2020-10-09T23:32:44.559Z,2020-10-09T23:32:45.552Z,0.8723430633544922
2020-10-09T23:32:50.040Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:32:58.768Z,2020-10-09T23:32:58.771Z,2020-10-09T23:32:59.699Z,4.393250942230225
2020-10-09T23:33:04.165Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:33:12.853Z,2020-10-09T23:33:12.856Z,2020-10-09T23:33:13.830Z,4.364889025688171
2020-10-09T23:33:18.309Z,"iPhone12,3",14.0.0,original,receiver,10489135.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:33:27.026Z,2020-10-09T23:33:27.031Z,2020-10-09T23:33:28.009Z,4.367385029792786
2020-10-09T23:33:36.884Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:33:48.071Z,2020-10-09T23:33:48.075Z,2020-10-09T23:33:48.994Z,8.707051992416382
