startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-09T23:31:59.012Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,100,1,,,,,,,,,,,,,,2020-10-09T23:32:04.493Z,2020-10-09T23:32:04.971Z,,,,,2020-10-09T23:32:04.972Z,2020-10-09T23:32:05.441Z,2020-10-09T23:32:05.553Z,2020-10-09T23:32:06.630Z,0.3939119577407837,2020-10-09T23:32:05.485Z
2020-10-09T23:32:06.813Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489142.0,100,10,,,,,,,,,,,,,,2020-10-09T23:32:12.283Z,2020-10-09T23:32:12.287Z,,,,,2020-10-09T23:32:12.287Z,2020-10-09T23:32:12.397Z,2020-10-09T23:32:12.500Z,2020-10-09T23:32:13.377Z,0.15631794929504395,2020-10-09T23:32:12.433Z
2020-10-09T23:32:13.566Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,100,20,,,,,,,,,,,,,,2020-10-09T23:32:19.001Z,2020-10-09T23:32:19.003Z,,,,,2020-10-09T23:32:19.004Z,2020-10-09T23:32:19.109Z,2020-10-09T23:32:19.198Z,2020-10-09T23:32:20.204Z,0.14436805248260498,2020-10-09T23:32:19.138Z
2020-10-09T23:32:21.708Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489138.0,1000,1,,,,,,,,,,,,,,2020-10-09T23:32:27.176Z,2020-10-09T23:32:27.209Z,,,,,2020-10-09T23:32:27.209Z,2020-10-09T23:32:27.483Z,2020-10-09T23:32:27.577Z,2020-10-09T23:32:28.516Z,1.4676300287246704,2020-10-09T23:32:27.515Z
2020-10-09T23:32:30.012Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489142.0,1000,10,,,,,,,,,,,,,,2020-10-09T23:32:35.483Z,2020-10-09T23:32:35.488Z,,,,,2020-10-09T23:32:35.488Z,2020-10-09T23:32:35.881Z,2020-10-09T23:32:35.972Z,2020-10-09T23:32:36.983Z,1.4514659643173218,2020-10-09T23:32:35.912Z
2020-10-09T23:32:38.579Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,1000,20,,,,,,,,,,,,,,2020-10-09T23:32:44.078Z,2020-10-09T23:32:44.080Z,,,,,2020-10-09T23:32:44.080Z,2020-10-09T23:32:44.282Z,2020-10-09T23:32:44.379Z,2020-10-09T23:32:45.274Z,1.5312479734420776,2020-10-09T23:32:44.318Z
2020-10-09T23:32:52.873Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,5000,1,,,,,,,,,,,,,,2020-10-09T23:32:58.358Z,2020-10-09T23:32:58.362Z,,,,,2020-10-09T23:32:58.362Z,2020-10-09T23:32:58.493Z,2020-10-09T23:32:58.596Z,2020-10-09T23:32:59.422Z,7.4914630651474,2020-10-09T23:32:58.532Z
2020-10-09T23:33:06.738Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,5000,10,,,,,,,,,,,,,,2020-10-09T23:33:12.228Z,2020-10-09T23:33:12.232Z,,,,,2020-10-09T23:33:12.232Z,2020-10-09T23:33:12.578Z,2020-10-09T23:33:12.685Z,2020-10-09T23:33:13.553Z,7.186056971549988,2020-10-09T23:33:12.613Z
2020-10-09T23:33:20.841Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489135.0,5000,20,,,,,,,,,,,,,,2020-10-09T23:33:26.329Z,2020-10-09T23:33:26.334Z,,,,,2020-10-09T23:33:26.334Z,2020-10-09T23:33:26.759Z,2020-10-09T23:33:26.870Z,2020-10-09T23:33:27.732Z,7.14695405960083,2020-10-09T23:33:26.799Z
2020-10-09T23:33:42.174Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489137.0,10000,1,,,,,,,,,,,,,,2020-10-09T23:33:47.629Z,2020-10-09T23:33:47.633Z,,,,,2020-10-09T23:33:47.633Z,2020-10-09T23:33:47.798Z,2020-10-09T23:33:47.898Z,2020-10-09T23:33:48.715Z,14.238224983215332,2020-10-09T23:33:47.834Z
2020-10-09T23:34:03.151Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489143.0,10000,10,,,,,,,,,,,,,,2020-10-09T23:34:08.628Z,2020-10-09T23:34:08.630Z,,,,,2020-10-09T23:34:08.630Z,2020-10-09T23:34:08.780Z,2020-10-09T23:34:08.892Z,2020-10-09T23:34:09.705Z,14.229671955108643,2020-10-09T23:34:08.818Z
2020-10-09T23:34:24.071Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,10000,20,,,,,,,,,,,,,,2020-10-09T23:34:29.508Z,2020-10-09T23:34:29.512Z,,,,,2020-10-09T23:34:29.512Z,2020-10-09T23:34:29.700Z,2020-10-09T23:34:29.814Z,2020-10-09T23:34:30.616Z,14.147114038467407,2020-10-09T23:34:29.740Z
2020-10-09T23:34:52.148Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,15000,1,,,,,,,,,,,,,,2020-10-09T23:34:57.621Z,2020-10-09T23:34:57.625Z,,,,,2020-10-09T23:34:57.625Z,2020-10-09T23:34:59.209Z,2020-10-09T23:34:59.323Z,2020-10-09T23:35:00.151Z,21.239117980003357,2020-10-09T23:34:59.254Z
2020-10-09T23:35:21.391Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489139.0,15000,10,,,,,,,,,,,,,,2020-10-09T23:35:26.883Z,2020-10-09T23:35:26.888Z,,,,,2020-10-09T23:35:26.888Z,2020-10-09T23:35:27.395Z,2020-10-09T23:35:27.512Z,2020-10-09T23:35:28.328Z,20.931121945381165,2020-10-09T23:35:27.439Z
2020-10-09T23:35:49.686Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489146.0,15000,20,,,,,,,,,,,,,,2020-10-09T23:35:55.142Z,2020-10-09T23:35:55.147Z,,,,,2020-10-09T23:35:55.147Z,2020-10-09T23:35:55.726Z,2020-10-09T23:35:55.843Z,2020-10-09T23:35:56.656Z,21.03346300125122,2020-10-09T23:35:55.765Z
2020-10-09T23:35:56.816Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,100,1,,,,,,,,,,,,,,2020-10-09T23:36:02.147Z,2020-10-09T23:36:02.151Z,,,,,2020-10-09T23:36:02.152Z,2020-10-09T23:36:02.464Z,2020-10-09T23:36:02.575Z,2020-10-09T23:36:03.512Z,0.1390550136566162,2020-10-09T23:36:02.503Z
2020-10-09T23:36:03.684Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,100,10,,,,,,,,,,,,,,2020-10-09T23:36:09.131Z,2020-10-09T23:36:09.135Z,,,,,2020-10-09T23:36:09.135Z,2020-10-09T23:36:09.320Z,2020-10-09T23:36:09.413Z,2020-10-09T23:36:10.214Z,0.1412431001663208,2020-10-09T23:36:09.350Z
2020-10-09T23:36:10.399Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489143.0,100,20,,,,,,,,,,,,,,2020-10-09T23:36:15.876Z,2020-10-09T23:36:15.880Z,,,,,2020-10-09T23:36:15.880Z,2020-10-09T23:36:16.110Z,2020-10-09T23:36:16.208Z,2020-10-09T23:36:17.068Z,0.1411980390548706,2020-10-09T23:36:16.140Z
2020-10-09T23:36:18.541Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,1000,1,,,,,,,,,,,,,,2020-10-09T23:36:23.961Z,2020-10-09T23:36:23.965Z,,,,,2020-10-09T23:36:23.965Z,2020-10-09T23:36:24.148Z,2020-10-09T23:36:24.450Z,2020-10-09T23:36:25.468Z,1.438912034034729,2020-10-09T23:36:24.179Z
2020-10-09T23:36:26.926Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489137.0,1000,10,,,,,,,,,,,,,,2020-10-09T23:36:32.423Z,2020-10-09T23:36:32.427Z,,,,,2020-10-09T23:36:32.427Z,2020-10-09T23:36:32.864Z,2020-10-09T23:36:32.950Z,2020-10-09T23:36:33.957Z,1.4135940074920654,2020-10-09T23:36:32.893Z
2020-10-09T23:36:35.418Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489143.0,1000,20,,,,,,,,,,,,,,2020-10-09T23:36:40.880Z,2020-10-09T23:36:40.883Z,,,,,2020-10-09T23:36:40.883Z,2020-10-09T23:36:41.257Z,2020-10-09T23:36:41.349Z,2020-10-09T23:36:42.199Z,1.403702974319458,2020-10-09T23:36:41.288Z
2020-10-09T23:36:49.041Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,5000,1,,,,,,,,,,,,,,2020-10-09T23:36:54.042Z,2020-10-09T23:36:54.046Z,,,,,2020-10-09T23:36:54.047Z,2020-10-09T23:36:54.385Z,2020-10-09T23:36:54.489Z,2020-10-09T23:36:55.285Z,6.730029940605164,2020-10-09T23:36:54.424Z
