startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-13T22:10:27.869Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,100,1,100,1,2020-10-13T22:10:39.259Z,2020-10-13T22:10:39.261Z,2020-10-13T22:10:39.261Z,2020-10-13T22:10:39.262Z,2020-10-13T22:10:39.262Z,2020-10-13T22:10:39.263Z,2020-10-13T22:10:39.263Z,2020-10-13T22:10:39.265Z,2020-10-13T22:10:39.265Z,2020-10-13T22:10:39.266Z,2020-10-13T22:10:39.266Z,2020-10-13T22:10:39.152Z,2020-10-13T22:10:39.153Z,2020-10-13T22:10:39.257Z,2020-10-13T22:10:39.268Z,,,2020-10-13T22:10:40.236Z,0.09035897254943848
2020-10-13T22:10:40.362Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,100,10,100,10,2020-10-13T22:10:49.768Z,2020-10-13T22:10:49.786Z,2020-10-13T22:10:49.786Z,2020-10-13T22:10:49.793Z,2020-10-13T22:10:49.793Z,2020-10-13T22:10:49.793Z,2020-10-13T22:10:49.794Z,2020-10-13T22:10:49.802Z,2020-10-13T22:10:49.802Z,2020-10-13T22:10:49.807Z,2020-10-13T22:10:49.807Z,2020-10-13T22:10:49.641Z,2020-10-13T22:10:49.642Z,2020-10-13T22:10:49.760Z,2020-10-13T22:10:49.808Z,,,2020-10-13T22:10:50.678Z,0.08928811550140381
2020-10-13T22:10:50.805Z,"iPhone12,3",14.0.0,psi,receiver,10489144.0,100,20,100,20,2020-10-13T22:11:00.861Z,2020-10-13T22:11:00.891Z,2020-10-13T22:11:00.891Z,2020-10-13T22:11:00.901Z,2020-10-13T22:11:00.901Z,2020-10-13T22:11:00.901Z,2020-10-13T22:11:00.901Z,2020-10-13T22:11:00.912Z,2020-10-13T22:11:00.912Z,2020-10-13T22:11:00.921Z,2020-10-13T22:11:00.921Z,2020-10-13T22:11:00.709Z,2020-10-13T22:11:00.711Z,2020-10-13T22:11:00.849Z,2020-10-13T22:11:00.922Z,,,2020-10-13T22:11:03.084Z,0.08806610107421875
2020-10-13T22:11:04.015Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,1000,1,1000,1,2020-10-13T22:11:13.882Z,2020-10-13T22:11:13.884Z,2020-10-13T22:11:13.884Z,2020-10-13T22:11:13.885Z,2020-10-13T22:11:13.885Z,2020-10-13T22:11:13.885Z,2020-10-13T22:11:13.886Z,2020-10-13T22:11:13.887Z,2020-10-13T22:11:13.887Z,2020-10-13T22:11:13.888Z,2020-10-13T22:11:13.889Z,2020-10-13T22:11:13.756Z,2020-10-13T22:11:13.758Z,2020-10-13T22:11:13.877Z,2020-10-13T22:11:13.892Z,,,2020-10-13T22:11:14.819Z,0.8796889781951904
2020-10-13T22:11:15.825Z,"iPhone12,3",14.0.0,psi,receiver,10489143.0,1000,10,1000,10,2020-10-13T22:11:24.914Z,2020-10-13T22:11:24.930Z,2020-10-13T22:11:24.930Z,2020-10-13T22:11:24.936Z,2020-10-13T22:11:24.936Z,2020-10-13T22:11:24.937Z,2020-10-13T22:11:24.937Z,2020-10-13T22:11:24.944Z,2020-10-13T22:11:24.944Z,2020-10-13T22:11:24.949Z,2020-10-13T22:11:24.950Z,2020-10-13T22:11:24.770Z,2020-10-13T22:11:24.772Z,2020-10-13T22:11:24.904Z,2020-10-13T22:11:24.952Z,,,2020-10-13T22:11:26.082Z,0.8751399517059326
2020-10-13T22:11:27.058Z,"iPhone12,3",14.0.0,psi,receiver,10489144.0,1000,20,1000,20,2020-10-13T22:11:36.524Z,2020-10-13T22:11:36.550Z,2020-10-13T22:11:36.550Z,2020-10-13T22:11:36.559Z,2020-10-13T22:11:36.559Z,2020-10-13T22:11:36.560Z,2020-10-13T22:11:36.560Z,2020-10-13T22:11:36.570Z,2020-10-13T22:11:36.570Z,2020-10-13T22:11:36.579Z,2020-10-13T22:11:36.579Z,2020-10-13T22:11:36.363Z,2020-10-13T22:11:36.365Z,2020-10-13T22:11:36.510Z,2020-10-13T22:11:36.580Z,,,2020-10-13T22:11:37.791Z,0.8720389604568481
2020-10-13T22:11:42.250Z,"iPhone12,3",14.0.0,psi,receiver,10489143.0,5000,1,5000,1,2020-10-13T22:11:54.336Z,2020-10-13T22:11:54.338Z,2020-10-13T22:11:54.338Z,2020-10-13T22:11:54.339Z,2020-10-13T22:11:54.339Z,2020-10-13T22:11:54.341Z,2020-10-13T22:11:54.342Z,2020-10-13T22:11:54.342Z,2020-10-13T22:11:54.342Z,2020-10-13T22:11:54.343Z,2020-10-13T22:11:54.344Z,2020-10-13T22:11:54.185Z,2020-10-13T22:11:54.187Z,2020-10-13T22:11:54.326Z,2020-10-13T22:11:54.351Z,,,2020-10-13T22:11:55.637Z,4.358978033065796
2020-10-13T22:12:00.122Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,5000,10,5000,10,2020-10-13T22:12:11.090Z,2020-10-13T22:12:11.101Z,2020-10-13T22:12:11.101Z,2020-10-13T22:12:11.106Z,2020-10-13T22:12:11.106Z,2020-10-13T22:12:11.108Z,2020-10-13T22:12:11.108Z,2020-10-13T22:12:11.114Z,2020-10-13T22:12:11.114Z,2020-10-13T22:12:11.119Z,2020-10-13T22:12:11.120Z,2020-10-13T22:12:10.919Z,2020-10-13T22:12:10.920Z,2020-10-13T22:12:11.076Z,2020-10-13T22:12:11.125Z,,,2020-10-13T22:12:12.698Z,4.375769019126892
2020-10-13T22:12:17.256Z,"iPhone12,3",14.0.0,psi,receiver,10489143.0,5000,20,5000,20,2020-10-13T22:12:29.438Z,2020-10-13T22:12:29.458Z,2020-10-13T22:12:29.458Z,2020-10-13T22:12:29.466Z,2020-10-13T22:12:29.466Z,2020-10-13T22:12:29.468Z,2020-10-13T22:12:29.468Z,2020-10-13T22:12:29.476Z,2020-10-13T22:12:29.476Z,2020-10-13T22:12:29.484Z,2020-10-13T22:12:29.485Z,2020-10-13T22:12:29.256Z,2020-10-13T22:12:29.257Z,2020-10-13T22:12:29.421Z,2020-10-13T22:12:29.489Z,,,2020-10-13T22:12:30.724Z,4.353688955307007
2020-10-13T22:12:39.614Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,10000,1,10000,1,2020-10-13T22:12:54.145Z,2020-10-13T22:12:54.146Z,2020-10-13T22:12:54.146Z,2020-10-13T22:12:54.146Z,2020-10-13T22:12:54.146Z,2020-10-13T22:12:54.150Z,2020-10-13T22:12:54.150Z,2020-10-13T22:12:54.151Z,2020-10-13T22:12:54.151Z,2020-10-13T22:12:54.151Z,2020-10-13T22:12:54.154Z,2020-10-13T22:12:53.963Z,2020-10-13T22:12:53.964Z,2020-10-13T22:12:54.130Z,2020-10-13T22:12:54.163Z,,,2020-10-13T22:12:55.504Z,8.721604108810425
2020-10-13T22:13:04.433Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,10000,10,10000,10,2020-10-13T22:13:18.735Z,2020-10-13T22:13:18.744Z,2020-10-13T22:13:18.744Z,2020-10-13T22:13:18.748Z,2020-10-13T22:13:18.748Z,2020-10-13T22:13:18.750Z,2020-10-13T22:13:18.750Z,2020-10-13T22:13:18.755Z,2020-10-13T22:13:18.755Z,2020-10-13T22:13:18.759Z,2020-10-13T22:13:18.761Z,2020-10-13T22:13:18.543Z,2020-10-13T22:13:18.544Z,2020-10-13T22:13:18.719Z,2020-10-13T22:13:18.768Z,,,2020-10-13T22:13:20.055Z,8.747963905334473
2020-10-13T22:13:29.009Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,10000,20,10000,20,2020-10-13T22:13:43.709Z,2020-10-13T22:13:43.727Z,2020-10-13T22:13:43.727Z,2020-10-13T22:13:43.734Z,2020-10-13T22:13:43.734Z,2020-10-13T22:13:43.737Z,2020-10-13T22:13:43.738Z,2020-10-13T22:13:43.747Z,2020-10-13T22:13:43.747Z,2020-10-13T22:13:43.755Z,2020-10-13T22:13:43.756Z,2020-10-13T22:13:43.268Z,2020-10-13T22:13:43.269Z,2020-10-13T22:13:43.687Z,2020-10-13T22:13:43.764Z,,,2020-10-13T22:13:45.189Z,8.751052021980286
