startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-13T22:10:30.311Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,100,1,100,1,2020-10-13T22:10:39.285Z,2020-10-13T22:10:39.287Z,2020-10-13T22:10:39.287Z,2020-10-13T22:10:39.288Z,2020-10-13T22:10:39.288Z,2020-10-13T22:10:39.288Z,2020-10-13T22:10:39.170Z,2020-10-13T22:10:39.171Z,2020-10-13T22:10:39.171Z,2020-10-13T22:10:39.172Z,2020-10-13T22:10:39.288Z,2020-10-13T22:10:39.025Z,2020-10-13T22:10:39.043Z,2020-10-13T22:10:39.043Z,2020-10-13T22:10:39.169Z,2020-10-13T22:10:39.173Z,2020-10-13T22:10:39.284Z,,,2020-10-13T22:10:39.383Z,2020-10-13T22:10:40.253Z,0.5145789384841919,2020-10-13T22:10:39.322Z
2020-10-13T22:10:40.430Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489141.0,100,10,100,10,2020-10-13T22:10:49.831Z,2020-10-13T22:10:49.845Z,2020-10-13T22:10:49.845Z,2020-10-13T22:10:49.856Z,2020-10-13T22:10:49.856Z,2020-10-13T22:10:49.856Z,2020-10-13T22:10:49.660Z,2020-10-13T22:10:49.669Z,2020-10-13T22:10:49.669Z,2020-10-13T22:10:49.677Z,2020-10-13T22:10:49.856Z,2020-10-13T22:10:49.226Z,2020-10-13T22:10:49.244Z,2020-10-13T22:10:49.244Z,2020-10-13T22:10:49.659Z,2020-10-13T22:10:49.677Z,2020-10-13T22:10:49.826Z,,,2020-10-13T22:10:49.942Z,2020-10-13T22:10:50.694Z,0.1423560380935669,2020-10-13T22:10:49.886Z
2020-10-13T22:10:50.884Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489144.0,100,20,100,20,2020-10-13T22:11:00.947Z,2020-10-13T22:11:00.972Z,2020-10-13T22:11:00.972Z,2020-10-13T22:11:00.992Z,2020-10-13T22:11:00.992Z,2020-10-13T22:11:00.992Z,2020-10-13T22:11:00.728Z,2020-10-13T22:11:00.746Z,2020-10-13T22:11:00.746Z,2020-10-13T22:11:00.760Z,2020-10-13T22:11:00.992Z,2020-10-13T22:10:59.682Z,2020-10-13T22:10:59.700Z,2020-10-13T22:10:59.700Z,2020-10-13T22:11:00.728Z,2020-10-13T22:11:00.760Z,2020-10-13T22:11:00.938Z,,,2020-10-13T22:11:01.185Z,2020-10-13T22:11:03.213Z,0.13890910148620605,2020-10-13T22:11:01.022Z
2020-10-13T22:11:04.655Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,1000,1,1000,1,2020-10-13T22:11:13.922Z,2020-10-13T22:11:13.924Z,2020-10-13T22:11:13.924Z,2020-10-13T22:11:13.925Z,2020-10-13T22:11:13.925Z,2020-10-13T22:11:13.926Z,2020-10-13T22:11:13.776Z,2020-10-13T22:11:13.777Z,2020-10-13T22:11:13.777Z,2020-10-13T22:11:13.779Z,2020-10-13T22:11:13.926Z,2020-10-13T22:11:13.454Z,2020-10-13T22:11:13.471Z,2020-10-13T22:11:13.471Z,2020-10-13T22:11:13.775Z,2020-10-13T22:11:13.781Z,2020-10-13T22:11:13.919Z,,,2020-10-13T22:11:14.030Z,2020-10-13T22:11:14.836Z,1.3988800048828125,2020-10-13T22:11:13.962Z
2020-10-13T22:11:16.247Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489143.0,1000,10,1000,10,2020-10-13T22:11:24.984Z,2020-10-13T22:11:24.996Z,2020-10-13T22:11:24.996Z,2020-10-13T22:11:25.006Z,2020-10-13T22:11:25.006Z,2020-10-13T22:11:25.006Z,2020-10-13T22:11:24.789Z,2020-10-13T22:11:24.800Z,2020-10-13T22:11:24.800Z,2020-10-13T22:11:24.808Z,2020-10-13T22:11:25.006Z,2020-10-13T22:11:24.247Z,2020-10-13T22:11:24.265Z,2020-10-13T22:11:24.266Z,2020-10-13T22:11:24.789Z,2020-10-13T22:11:24.810Z,2020-10-13T22:11:24.979Z,,,2020-10-13T22:11:25.091Z,2020-10-13T22:11:26.099Z,1.3556979894638062,2020-10-13T22:11:25.039Z
2020-10-13T22:11:27.573Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489144.0,1000,20,1000,20,2020-10-13T22:11:36.617Z,2020-10-13T22:11:36.642Z,2020-10-13T22:11:36.642Z,2020-10-13T22:11:36.662Z,2020-10-13T22:11:36.662Z,2020-10-13T22:11:36.662Z,2020-10-13T22:11:36.386Z,2020-10-13T22:11:36.403Z,2020-10-13T22:11:36.403Z,2020-10-13T22:11:36.417Z,2020-10-13T22:11:36.662Z,2020-10-13T22:11:35.573Z,2020-10-13T22:11:35.591Z,2020-10-13T22:11:35.591Z,2020-10-13T22:11:36.385Z,2020-10-13T22:11:36.418Z,2020-10-13T22:11:36.606Z,,,2020-10-13T22:11:36.837Z,2020-10-13T22:11:37.817Z,1.4026920795440674,2020-10-13T22:11:36.695Z
2020-10-13T22:11:44.892Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489143.0,5000,1,5000,1,2020-10-13T22:11:54.403Z,2020-10-13T22:11:54.404Z,2020-10-13T22:11:54.404Z,2020-10-13T22:11:54.406Z,2020-10-13T22:11:54.406Z,2020-10-13T22:11:54.408Z,2020-10-13T22:11:54.205Z,2020-10-13T22:11:54.206Z,2020-10-13T22:11:54.206Z,2020-10-13T22:11:54.210Z,2020-10-13T22:11:54.408Z,2020-10-13T22:11:53.591Z,2020-10-13T22:11:53.609Z,2020-10-13T22:11:53.609Z,2020-10-13T22:11:54.204Z,2020-10-13T22:11:54.217Z,2020-10-13T22:11:54.391Z,,,2020-10-13T22:11:54.662Z,2020-10-13T22:11:55.653Z,6.9612120389938354,2020-10-13T22:11:54.443Z
2020-10-13T22:12:02.633Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,5000,10,5000,10,2020-10-13T22:12:11.181Z,2020-10-13T22:12:11.193Z,2020-10-13T22:12:11.193Z,2020-10-13T22:12:11.203Z,2020-10-13T22:12:11.203Z,2020-10-13T22:12:11.205Z,2020-10-13T22:12:10.938Z,2020-10-13T22:12:10.948Z,2020-10-13T22:12:10.948Z,2020-10-13T22:12:10.958Z,2020-10-13T22:12:11.205Z,2020-10-13T22:12:10.634Z,2020-10-13T22:12:10.651Z,2020-10-13T22:12:10.651Z,2020-10-13T22:12:10.937Z,2020-10-13T22:12:10.964Z,2020-10-13T22:12:11.166Z,,,2020-10-13T22:12:11.446Z,2020-10-13T22:12:12.947Z,6.8525930643081665,2020-10-13T22:12:11.238Z
2020-10-13T22:12:20.043Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489143.0,5000,20,5000,20,2020-10-13T22:12:29.551Z,2020-10-13T22:12:29.575Z,2020-10-13T22:12:29.575Z,2020-10-13T22:12:29.594Z,2020-10-13T22:12:29.594Z,2020-10-13T22:12:29.596Z,2020-10-13T22:12:29.275Z,2020-10-13T22:12:29.292Z,2020-10-13T22:12:29.292Z,2020-10-13T22:12:29.307Z,2020-10-13T22:12:29.596Z,2020-10-13T22:12:28.815Z,2020-10-13T22:12:28.833Z,2020-10-13T22:12:28.834Z,2020-10-13T22:12:29.274Z,2020-10-13T22:12:29.313Z,2020-10-13T22:12:29.534Z,,,2020-10-13T22:12:29.859Z,2020-10-13T22:12:30.774Z,6.954393029212952,2020-10-13T22:12:29.627Z
2020-10-13T22:12:45.103Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,10000,1,10000,1,2020-10-13T22:12:54.434Z,2020-10-13T22:12:54.435Z,2020-10-13T22:12:54.435Z,2020-10-13T22:12:54.436Z,2020-10-13T22:12:54.436Z,2020-10-13T22:12:54.440Z,2020-10-13T22:12:53.983Z,2020-10-13T22:12:53.985Z,2020-10-13T22:12:53.985Z,2020-10-13T22:12:53.990Z,2020-10-13T22:12:54.440Z,2020-10-13T22:12:53.774Z,2020-10-13T22:12:53.793Z,2020-10-13T22:12:53.793Z,2020-10-13T22:12:53.983Z,2020-10-13T22:12:54.004Z,2020-10-13T22:12:54.412Z,,,2020-10-13T22:12:54.554Z,2020-10-13T22:12:55.521Z,14.126561999320984,2020-10-13T22:12:54.473Z
